Source,Target
Abuela de Pedro Páramo,Pedro Páramo
Abuelo de Pedro Páramo,Pedro Páramo
Abundio Martínez,Juan Preciado
Abundio Martínez,Miguel Páramo
Abundio Martínez,Pedro Páramo
Ana,Miguel Páramo
Anciana,Hermana de Donis
Ángeles,Doctor Valencia
Ángeles,Susana San Juan
Bartolomé San Juan,Susana San Juan
Casildo,Perseverancio
Chona,Juliana
Cura de Contla,Padre Rentería
"Damasio, el Tilcuate",Pedro Páramo
Damiana Cisneros,Juan Preciado
Damiana Cisneros,Miguel Páramo
Damiana Cisneros,Pedro Páramo
Doctor Valencia,Susana San Juan
Dolores Preciado,Pedro Páramo
Doña Fausta,Ángeles
Doña Fausta,Doctor Valencia
Doña Fausta,Susana San Juan
Doña Inés Villalpando,Gamaliel Villalpando
Doña Inés Villalpando,Pedro Páramo
Donis,Hermana de Donis
Donis,Juan Preciado
Dorotea,Juan Preciado
Dorotea,Miguel Páramo
Eduviges Dyada,Dolores Preciado
Eduviges Dyada,Juan Preciado
El Tartamudo,Pedro Páramo
Felicitas,Galileo
Filomeno,Hermana de Donis
Filoteo Aréchiga,Pedro Páramo
Florencio,Susana San Juan
Fulgor Sedano,Pedro Páramo
Galileo,Pedro Páramo
Gerardo Trujillo,Pedro Páramo
Gertrudis,Dolores Preciado
Gertrudis,Juan Preciado
Hermana de Donis,Juan Preciado
Hermano del padre Rentería,Ana
Inocencio Osorio,Dolores Preciado
Inocencio Osorio,Eduviges Dyada
Isaías,Miguel Páramo
Jesús,Miguel Páramo
Juan Preciado,Dolores Preciado
Juan Preciado,Pedro Páramo
Justina Díaz,Susana San Juan
Lucas Páramo,Pedro Páramo
Madre de Pedro Páramo,Pedro Páramo
Madre de Susana San Juan,Susana San Juan
Margarita,Pedro Páramo
María Dyada,Eduviges Dyada
Matilde Preciado,Dolores Preciado
Matilde Preciado,Gertrudis
Matilde Preciado,Juan Preciado
Melquiades,Hermana de Donis
Micaela,Abuela de Pedro Páramo
Miguel Páramo,Hermano del padre Rentería
Miguel Páramo,Pedro Páramo
Padre Rentería,Ana
Padre Rentería,Hermano del padre Rentería
Pedro Páramo,Eduviges Dyada
"Prudencio, el viejo",Hermana de Donis
Refugio,Abundio Martínez
Rogelio,Pedro Páramo
Sixtina,Damiana Cisneros
Sóstenes,Hermana de Donis
Susana San Juan,Pedro Páramo
Terencio Lubianes,Miguel Páramo
Toribio Aldrete,Pedro Páramo
Ubillado,Miguel Páramo
